Packet Index,Arrival Time,GeneratingTime,FlowDelay,MulticastIdx,GWDelay,UEDelay,Protocol
1.0,5.81643009185,0.00185799598694,5.81643009185,1.0,5000.0,250.0,3GPP
2.0,5.91897010803,0.104084968567,5.81674313545,1.0,5000.0,250.0,3GPP
3.0,6.02285790443,0.206992864609,5.81772303581,1.0,5000.0,250.0,3GPP
4.0,6.12598609924,0.309601068497,5.81824302673,1.0,5000.0,250.0,3GPP
5.0,6.22765493393,0.412327051163,5.81718587876,1.0,5000.0,250.0,3GPP
6.0,6.33272099495,0.514908075333,5.81967091561,1.0,5000.0,250.0,3GPP
7.0,6.43349695205,0.618052959442,5.8173019886,1.0,5000.0,250.0,3GPP
8.0,6.5371260643,0.720763921738,5.81822013855,1.0,5000.0,250.0,3GPP
9.0,6.63855195045,0.823276996613,5.81713294983,1.0,5000.0,250.0,3GPP
10.0,6.74384498596,0.925843000412,5.81985998154,1.0,5000.0,250.0,3GPP
11.0,6.84723496437,1.03029489517,5.81879806519,1.0,5000.0,250.0,3GPP
12.0,6.95044398307,1.13263487816,5.8196671009,1.0,5000.0,250.0,3GPP
13.0,7.05172300338,1.23526597023,5.81831502914,1.0,5000.0,250.0,3GPP
14.0,7.15394496917,1.33821892738,5.81758403778,1.0,5000.0,250.0,3GPP
15.0,7.25698208809,1.44142198563,5.81741809845,1.0,5000.0,250.0,3GPP
16.0,7.36363506317,1.54504585266,5.8204472065,1.0,5000.0,250.0,3GPP
17.0,7.46507596969,1.64791584015,5.81901812553,1.0,5000.0,250.0,3GPP
18.0,7.56795406341,1.74978804588,5.82002401352,1.0,5000.0,250.0,3GPP
19.0,7.66915798187,1.85265684128,5.81835913658,1.0,5000.0,250.0,3GPP
20.0,7.78366303444,1.95540904999,5.83011198044,1.0,5000.0,250.0,3GPP
21.0,7.87467694282,2.05893802643,5.81759691238,1.0,5000.0,250.0,3GPP
22.0,7.97951412201,2.16168403625,5.81968808175,1.0,5000.0,250.0,3GPP
23.0,8.08063697815,2.26437401772,5.81812095642,1.0,5000.0,250.0,3GPP
24.0,8.18504405021,2.36734485626,5.81955718994,1.0,5000.0,250.0,3GPP
25.0,8.28642606735,2.47000193596,5.81828212738,1.0,5000.0,250.0,3GPP
26.0,8.3881919384,2.57225584984,5.81779408455,1.0,5000.0,250.0,3GPP
27.0,8.49345302581,2.67576003075,5.81955099105,1.0,5000.0,250.0,3GPP
28.0,8.59409999847,2.77851605415,5.81744194031,1.0,5000.0,250.0,3GPP
29.0,8.70075702667,2.88319706917,5.81941795349,1.0,5000.0,250.0,3GPP
30.0,8.80328512191,2.98588490486,5.81925821304,1.0,5000.0,250.0,3GPP
31.0,8.90615606308,3.08904886246,5.81896519661,1.0,5000.0,250.0,3GPP
32.0,9.00660610199,3.19156599045,5.81689810753,1.0,5000.0,250.0,3GPP
33.0,9.11097407341,3.29420185089,5.81863021851,1.0,5000.0,250.0,3GPP
34.0,9.21502208709,3.39781403542,5.81906604766,1.0,5000.0,250.0,3GPP
35.0,9.31843400001,3.50093388557,5.81935811043,1.0,5000.0,250.0,3GPP
36.0,9.41845107078,3.60318589211,5.81712317466,1.0,5000.0,250.0,3GPP
37.0,9.52190208435,3.70590996742,5.81785011292,1.0,5000.0,250.0,3GPP
38.0,9.62501096725,3.80890583992,5.81796312332,1.0,5000.0,250.0,3GPP
39.0,9.72986006736,3.91235303879,5.81936502456,1.0,5000.0,250.0,3GPP
40.0,9.83254694938,4.01600193977,5.8184030056,1.0,5000.0,250.0,3GPP
41.0,9.93560290336,4.11881899834,5.81864190101,1.0,5000.0,250.0,3GPP
42.0,10.0374929905,4.22168207169,5.81766891481,1.0,5000.0,250.0,3GPP
43.0,20.5952999592,4.22081613541,16.3763418198,2.0,5000.0,250.0,3GPP
44.0,20.5986931324,4.2171561718,16.3833949566,2.0,5000.0,250.0,3GPP
45.0,20.6006960869,4.21382498741,16.3887290955,2.0,5000.0,250.0,3GPP
