PacketSeqNo,ArrivalTime,MulticastIdx
1,14.8785378933,1
2,14.9237570763,1
3,14.9859390259,1
4,15.0357868671,1
5,15.0799179077,1
6,15.132297039,1
7,15.1678490639,1
8,15.2080049515,1
9,15.2566878796,1
10,15.3243880272,1
11,15.3601219654,1
12,15.3919289112,1
13,15.423979044,1
14,15.4617550373,1
15,15.5216219425,1
16,15.5720210075,1
17,15.6091990471,1
18,15.6519649029,1
19,15.6961939335,1
20,15.7300050259,1
21,15.7601540089,1
22,15.7962150574,1
23,15.8360600471,1
24,15.9111890793,1
25,15.9478740692,1
26,46.0373189449,2
27,46.0802228451,2
28,46.1323468685,2
29,46.1759200096,2
30,46.2200739384,2
31,46.2601590157,2
32,46.2919359207,2
33,46.3322989941,2
34,46.3757948875,2
35,46.407930851,2
36,46.4523029327,2
37,46.5039269924,2
38,46.5558080673,2
39,46.6082038879,2
40,46.648047924,2
41,46.6961200237,2
42,46.7360129356,2
43,46.7759728432,2
44,46.8079769611,2
45,46.8619499207,2
46,46.9124438763,2
47,46.9520778656,2
48,46.9920709133,0
49,47.0399589539,0
50,47.0889139175,0
51,47.1298968792,0
52,47.1759679317,0
53,47.2122528553,0
54,47.2574110031,0
55,47.3051688671,0
56,47.3480770588,0
57,47.3841440678,0
58,47.4238040447,0
59,47.4698288441,0
60,47.5279488564,0
61,47.5720579624,0
62,47.6242928505,0
63,47.6723940372,0
64,47.7205049992,0
65,47.7678639889,0
66,47.8120009899,0
67,47.8442409039,0
68,77.9162020683,3
69,77.9522788525,3
70,77.9917728901,3
71,78.040088892,3
72,78.0840730667,3
73,78.1160459518,3
74,78.147865057,3
75,78.2045609951,3
76,78.2522408962,3
77,78.3042709827,3
78,78.3560068607,3
79,78.3881919384,3
80,78.4318728447,3
81,78.4960179329,3
82,78.53982687,3
83,78.5721619129,3
84,78.6363229752,3
85,78.6922979355,3
86,78.7321238518,3
87,78.7801859379,3
88,78.8320538998,3
89,78.884264946,3
90,78.9160840511,3
91,78.97219491,1
92,79.0162830353,1
93,79.0807728767,1
94,79.1242148876,1
95,79.1681609154,1
96,79.2200369835,1
97,79.2640109062,1
98,79.3084218502,1
99,79.3447790146,1
100,79.4161689281,1
101,79.4599850178,1
102,79.5126259327,1
103,79.556221962,1
104,79.6040668488,1
105,79.6362328529,1
106,79.6886520386,1
107,79.7241868973,1
108,79.7653100491,1
109,79.8080408573,1
110,79.8440549374,1
111,79.8761899471,1
112,79.9199619293,1
113,79.9561290741,1
114,79.9882428646,1
115,80.0318539143,1
116,110.13597393,2
117,110.180152893,2
118,110.232239008,2
119,110.291797876,2
120,110.332342863,2
121,110.372416019,2
122,110.412391901,2
123,110.444118023,2
124,110.488139868,2
125,110.528279066,2
126,110.579977989,2
