PacketSeqNo,GeneratingTime,ArrivalTime,MulticastIdx
1,0.00188899040222,3.0101480484,1
2,0.10430598259,3.11124992371,1
3,0.207010984421,3.21445298195,1
4,0.309632062912,3.31696796417,1
5,0.412404060364,3.41946005821,1
6,0.515424966812,3.52250814438,1
7,0.618835926056,3.62587809563,1
8,0.722073078156,3.72955799103,1
9,0.824963092804,3.83219408989,1
10,0.927878141403,3.93882894516,1
11,1.03239798546,4.04403209686,1
12,1.1360309124,4.14248013496,1
13,1.23905992508,4.24787092209,1
14,1.34171891212,4.34956812859,1
15,1.44444298744,4.45096707344,1
16,1.54745602608,4.55683898926,1
17,1.65070104599,4.6573741436,1
18,1.75395393372,4.76060795784,1
19,1.85765504837,4.86456012726,1
20,1.95991396904,4.96657013893,1
21,2.06197690964,5.0685069561,1
22,2.16419005394,5.17077994347,1
23,2.26705813408,5.27564406395,1
24,2.36987495422,5.37560200691,1
25,2.47251105309,5.47705698013,1
26,2.57467913628,5.5833799839,1
27,2.67702913284,5.68326401711,1
28,2.77908301353,5.78487300873,1
29,2.8815369606,5.88767313957,1
30,2.98373794556,5.98955011368,1
31,3.08595299721,6.09074091911,1
32,3.18774795532,6.19369292259,1
33,3.29038500786,6.29642510414,3
34,3.39236211777,6.39976096153,3
35,3.49555492401,6.50150203705,3
36,3.59767103195,6.60384011269,3
37,3.70001912117,6.7060611248,3
38,3.80304098129,6.80841612816,3
39,3.90571403503,6.91186404228,3
40,4.00882506371,7.01820111275,3
41,4.1117939949,7.12042498589,3
42,4.21421098709,7.22039794922,3
43,4.31678891182,7.32404899597,3
44,4.41883707047,7.42536401749,3
45,4.52090501785,7.52925395966,3
46,4.6234099865,7.63223791122,3
47,4.72567391396,7.73399710655,3
48,4.82770991325,7.83826804161,3
49,4.92983198166,7.93640303612,3
50,5.0320379734,8.03857207298,3
51,5.13394594193,8.14120006561,3
52,5.23571205139,8.24224591255,3
53,5.33792495728,8.34366297722,3
54,5.43972396851,8.44429111481,3
55,5.54222011566,8.54896402359,3
56,5.64384007454,8.65031313896,3
57,5.74566292763,8.75295209885,3
58,5.84764504433,8.85385012627,3
59,5.9496409893,8.95468497276,3
60,6.0523481369,9.05777406693,3
61,6.15481305122,9.15999007225,3
62,6.2567949295,9.26249599457,3
63,6.35866904259,9.36885809898,3
64,6.46079206467,9.46912693977,3
65,6.5626680851,9.56881308556,3
66,6.66425013542,9.66941213608,3
67,6.76610398293,9.77165102959,3
68,6.86812090874,9.87442612648,3
69,6.9700191021,9.97610092163,3
70,7.07197594643,10.0787220001,3
71,7.17379212379,10.1787481308,3
72,7.27739191055,10.2815611362,3
73,7.38055896759,10.3880240917,3
74,7.48254609108,10.4912729263,3
75,7.5843629837,10.5903410912,3
76,7.68607997894,10.6937470436,3
77,7.78841400146,10.7943940163,3
78,7.89031195641,10.8950009346,3
79,7.99206495285,10.997508049,3
80,8.09435105324,11.1014840603,3
81,8.19645309448,11.2063910961,3
82,8.29872393608,11.3047530651,3
83,8.40100502968,11.4062669277,3
84,8.50315499306,11.5081140995,3
85,8.60515403748,11.6106529236,3
86,8.70736694336,11.7138779163,3
87,8.80957102776,11.8154489994,3
88,8.91123008728,11.9168601036,3
89,9.01295208931,12.0199139118,3
90,9.11475992203,12.1191930771,3
91,9.21670794487,12.2235500813,3
92,9.31854605675,12.3230929375,3
93,9.42049002647,12.4271719456,3
94,9.52216410637,12.5281600952,3
95,9.62406492233,12.6296701431,3
96,9.72578597069,12.7312121391,3
97,9.82751607895,12.8352310658,3
98,9.93091702461,12.9394640923,3
99,10.0334749222,13.0433900356,3
100,10.1353049278,13.1415569782,3
101,10.2373590469,13.241656065,3
102,10.338973999,13.3446929455,3
103,10.4405860901,13.4466400146,3
104,10.5426149368,13.549366951,3
105,10.6443059444,13.6499130726,3
106,10.7470550537,13.7529230118,3
107,10.8491990566,13.8537809849,3
108,10.9507389069,13.9572520256,3
109,11.0527260303,14.0594091415,3
110,11.1544771194,14.1611940861,3
111,11.2561030388,14.2622921467,3
112,11.3578660488,14.3642609119,3
113,11.4639110565,14.4690411091,3
114,11.5658459663,14.5747959614,3
115,11.667730093,14.6738500595,3
116,11.7699661255,14.7763309479,3
117,11.8717699051,14.8778169155,3
118,11.9736881256,14.980091095,3
119,12.0754580498,15.0798170567,3
120,12.1774461269,15.1835589409,3
121,12.2790269852,15.2854890823,3
122,12.3810369968,15.3871431351,3
123,12.4827959538,15.4910099506,3
