PacketSeqNo,GeneratedTime(sec),ArrivalTime(sec),MulticastIdx
1,0.00308299064636,3.40880203247,1
2,0.105520963669,3.51258301735,1
3,0.207367897034,3.61298489571,1
4,0.309551954269,3.71389293671,1
5,0.412475824356,3.81699705124,1
6,0.514382839203,3.91804504395,1
7,0.616727828979,4.01883387566,1
8,0.718554019928,4.12244486809,1
9,0.82057595253,4.22537994385,1
10,0.92221903801,4.32734203339,1
11,1.02586603165,4.43170595169,1
12,1.12936902046,4.53756284714,1
13,1.2322499752,4.64304304123,1
14,1.33785891533,4.7451839447,1
15,1.44019603729,4.8455388546,1
16,1.54229593277,4.94891905785,1
17,1.64475703239,5.05617594719,1
18,1.7469060421,5.15470695496,1
19,1.84896087646,5.25413799286,1
20,1.95103096962,5.35750198364,1
21,2.05322289467,5.4574739933,1
22,2.15975689888,5.56507301331,1
23,2.26258993149,5.66854190826,1
24,2.3653960228,5.77131485939,1
25,2.46790790558,5.87120103836,1
26,2.57018899918,5.97653985023,1
27,2.67315196991,6.07671093941,1
28,2.77611899376,6.18538403511,1
29,2.87965393066,6.28384399414,1
30,2.98426294327,6.38829398155,1
31,3.08730602264,6.4920129776,1
32,3.19163393974,6.59736800194,1
33,3.29340696335,6.69686794281,1
34,3.39582490921,6.80218696594,1
35,3.49801683426,6.90229606628,1
36,3.59975790977,7.00587701797,1
37,3.70128083229,7.10715293884,1
38,3.80344200134,7.20858192444,1
39,3.90523386002,7.31031298637,1
40,4.00711393356,7.4130320549,1
41,4.11055397987,7.51621985435,1
42,4.21311593056,7.62021303177,1
43,4.31585097313,7.72221398354,1
44,4.41789984703,7.82346105576,1
45,4.51976585388,7.92558789253,1
46,4.62171792984,8.02779102325,1
47,4.72460985184,8.13119888306,1
48,4.82641983032,8.23481798172,1
49,4.93099188805,8.33751106262,1
50,5.03354692459,8.43926501274,1
51,5.13615584373,8.54294800758,1
52,5.23842787743,8.64433598518,1
53,5.3410449028,8.74676990509,1
54,5.44340586662,8.84959101677,1
55,5.5463988781,8.95022106171,1
56,5.64911198616,9.05468702316,1
57,5.75116896629,9.15590786934,1
58,5.85336995125,9.26043796539,1
59,5.95550084114,9.36056184769,1
60,6.05734300613,9.46431803703,1
61,6.15948987007,9.56471204758,1
62,6.26174592972,9.66504788399,1
63,6.36389303207,9.77082204819,1
64,6.46615791321,9.87248396873,1
