PacketSeqNo,GeneratedTime(sec),ArrivalTime(sec),MulticastIdx
1,0.00257205963135,2.75525212288,1
2,0.104964971542,2.85732793808,1
3,0.20818400383,2.96039891243,1
4,0.311316013336,3.06373214722,1
5,0.414525032043,3.16665697098,1
6,0.51775097847,3.26987600327,1
7,0.620507955551,3.37541604042,1
8,0.725711107254,3.47750210762,1
9,0.828372955322,3.58068704605,1
10,0.931192874908,3.68935704231,1
11,1.03664302826,3.78783607483,1
12,1.13928890228,3.89063501358,1
13,1.24217891693,3.99415802956,1
14,1.34516501427,4.09647893906,1
15,1.44753599167,4.19912195206,1
16,1.54980111122,4.30168008804,1
17,1.65284109116,4.40469312668,1
18,1.75531601906,4.50664401054,1
19,1.85842108727,4.6114089489,1
20,1.96152710915,4.71349096298,1
21,2.06495308876,4.81610202789,1
22,2.16787910461,4.92122101784,1
23,2.27115488052,5.02254414558,1
24,2.374147892,5.12658500671,1
25,2.47710299492,5.23015093803,1
26,2.58032202721,5.33246994019,1
27,2.68266201019,5.43380904198,1
28,2.78514409065,5.53773808479,1
29,2.88849496841,5.6404979229,1
30,2.99146509171,5.74361801147,1
31,3.09420990944,5.84733891487,1
32,3.19686603546,5.94905495644,1
33,3.29923391342,6.05184602737,1
34,3.40289092064,6.15521192551,1
35,3.50622987747,6.25881910324,1
36,3.60853505135,6.36019802094,1
37,3.71163606644,6.46271800995,1
38,6.46368193626,10.9877450466,2
39,6.46368193626,10.9927649498,2
40,6.46368193626,10.9977481365,2
41,6.46368193626,11.0012710094,2
42,6.46368193626,11.0018379688,2
43,6.46368193626,11.0035600662,2
44,6.46368193626,11.0069570541,2
45,6.46368193626,11.0095601082,2
46,6.46368193626,11.0122539997,2
47,6.46368193626,11.0162670612,2
48,6.46368193626,11.0187489986,2
49,6.46368193626,11.0243711472,2
50,6.46368193626,11.0261609554,2
51,6.46368193626,11.0290019512,2
52,6.46368193626,11.0334260464,2
53,6.46368193626,11.0358850956,2
54,6.46368193626,11.0447330475,2
55,6.46368193626,11.0474410057,2
56,6.46368193626,11.0502591133,2
57,6.46368193626,11.0527689457,2
58,6.46368193626,11.0553770065,2
59,6.46368193626,11.0586071014,2
60,6.46368193626,11.0607919693,2
61,6.46368193626,11.0654349327,2
62,6.46368193626,11.0682001114,2
63,6.46368193626,11.0732929707,2
64,6.46368193626,11.0753149986,2
65,6.46368193626,11.0794620514,2
66,6.46368193626,11.0820300579,2
67,6.46368193626,11.0872380733,2
68,6.46368193626,11.0898349285,2
69,6.46368193626,11.0937371254,2
70,6.46368193626,11.0963280201,2
71,6.46368193626,11.1025259495,2
72,6.46368193626,11.1044330597,2
73,6.46368193626,11.1073520184,2
74,6.46368193626,11.1098759174,2
75,6.46368193626,11.1143009663,2
