PacketSeqNo,GeneratedTime(sec),ArrivalTime(sec),MulticastIdx
1,0.0018789768219,6.05759692192,1
2,0.104543924332,6.15851807594,1
3,0.207206010818,6.26067590714,1
4,0.310727834702,6.36513495445,1
5,0.413601875305,6.46694397926,1
6,0.516654014587,6.57068490982,1
7,0.620350837708,6.67414093018,1
8,0.723318815231,6.77571606636,1
9,0.826377868652,6.87889814377,1
10,0.928861856461,6.9881939888,1
11,1.03442502022,7.087485075,1
12,1.13742589951,7.19123911858,1
13,1.24042201042,7.29437398911,1
14,1.34364295006,7.39623212814,1
15,1.44681692123,7.50047802925,1
16,1.55037999153,7.60483908653,1
17,1.65367388725,7.71001911163,1
18,1.75796103477,7.81231498718,1
19,1.8606159687,7.91534304619,1
20,1.96373081207,8.01732206345,1
21,2.06629180908,8.12012505531,1
22,2.16880989075,8.22281908989,1
23,2.27227497101,8.32522010803,1
24,2.37468600273,8.42889809608,1
25,2.47818398476,8.53111791611,1
26,2.58080101013,8.6340739727,1
27,2.68301200867,8.73660707474,1
28,2.78564786911,8.84006404877,1
29,2.88898181915,8.94336891174,1
30,2.9918179512,9.0451540947,1
31,3.09452199936,9.14813399315,1
32,3.19741487503,11.25041008,1
33,3.30022192001,11.3530380726,3
34,3.40360784531,11.4580190182,3
35,3.50680494308,11.5594000816,3
36,3.60945296288,11.6644330025,3
37,3.71263003349,11.7669620514,3
38,3.81572198868,11.8693721294,3
39,3.91866493225,11.9730679989,3
40,4.02230286598,12.0764780045,3
41,4.12520098686,12.1792111397,3
42,4.22860193253,12.2796499729,3
43,4.33160996437,12.3832440376,3
44,4.4343650341,12.4853439331,3
45,4.53771281242,12.590143919,3
46,4.64080190659,12.6935420036,3
47,4.74355387688,12.7944149971,3
48,4.8465628624,12.8989589214,3
49,4.94979500771,13.0011110306,3
50,5.05274987221,13.1053740978,3
51,5.15596294403,13.2084591389,3
52,5.25938487053,13.3105900288,3
53,5.36295580864,13.4151139259,3
54,5.4664478302,13.5180299282,3
55,5.56936597824,13.6224939823,3
56,5.67283797264,13.7251780033,3
57,5.77619981766,13.8288919926,3
58,5.8800508976,13.9331541061,3
59,5.98386192322,14.0361750126,3
60,6.08712887764,14.1383640766,3
61,6.19090294838,14.2432761192,3
62,6.29416584969,14.34552598,3
63,6.39793992043,14.4499650002,3
64,6.50091385841,14.5518960953,3
65,6.60380387306,14.656140089,3
66,6.70674490929,14.7576520443,3
67,6.80967497826,14.8620431423,3
68,6.9134209156,14.9656820297,3
69,7.01597595215,15.0680010319,3
70,7.11929893494,15.1721289158,3
71,7.22245883942,15.2730200291,3
72,7.32560896873,15.376914978,3
73,7.42872285843,15.481621027,3
74,7.5320289135,15.5833690166,3
75,7.63478899002,15.6871490479,3
76,7.73794388771,15.7900910378,3
77,7.84071493149,15.8936200142,3
78,7.94333600998,15.9947450161,3
79,8.04549598694,16.0969071388,3
80,8.14762997627,16.1989579201,3
81,8.24977993965,16.3026099205,3
82,8.35237193108,16.403149128,3
83,8.45494699478,16.5076770782,3
84,8.55712080002,16.608027935,3
85,8.65900301933,16.7110259533,3
86,8.76112699509,16.812087059,3
87,8.86343884468,16.9153411388,3
88,8.96590781212,17.0172231197,3
89,9.06846380234,17.1198189259,3
90,9.17089796066,17.2225320339,3
91,9.27318787575,17.3239700794,3
92,9.37517380714,17.4258329868,3
93,9.47753381729,17.528979063,1
94,9.5797958374,17.631855011,1
95,9.68200993538,17.7334580421,1
96,9.78466701508,17.8352630138,1
97,9.88666296005,17.9376571178,1
98,9.98844480515,18.0395979881,1
99,10.0904350281,18.1427550316,1
100,10.193256855,18.2450950146,1
101,10.2951879501,18.3457100391,1
102,10.3969979286,18.4488050938,1
103,10.4995429516,18.5504200459,1
104,10.6021409035,18.6526060104,1
105,10.7039430141,18.7545950413,1
106,10.805588007,18.857115984,1
107,10.9074118137,18.9589300156,1
108,11.0093648434,19.0596060753,1
109,11.1110038757,19.161137104,1
110,11.2127459049,19.2637281418,1
111,11.3155069351,19.3661539555,1
112,11.4179418087,19.4686009884,1
113,11.5206508636,19.5710430145,1
114,11.623333931,19.6731009483,1
115,11.7256348133,19.7762610912,1
116,11.8272309303,19.878729105,1
117,11.9289858341,19.9793140888,1
118,12.0314559937,20.0835981369,1
119,12.1344640255,20.185229063,1
120,12.2367110252,20.2867851257,1
121,12.338493824,20.3892450333,1
122,12.4406869411,20.4923379421,1
123,12.5426969528,20.5936250687,1
124,12.6444900036,20.6959331036,1
125,12.7465388775,20.7967619896,1
126,12.8484158516,20.9011409283,1
127,12.9513978958,21.0028281212,1
128,13.0531039238,21.1044790745,1
129,13.15615201,21.2066209316,1
130,13.2581839561,21.3104169369,1
131,13.3600687981,21.4119579792,1
132,13.4630668163,21.5130369663,1
133,13.566026926,21.6186170578,1
134,13.6685738564,21.7184231281,1
135,13.7716360092,21.8233349323,1
136,13.8736929893,21.9242830276,1
137,13.9762728214,22.0274851322,1
138,14.0782518387,22.1290431023,1
139,14.1801829338,22.2302291393,1
140,14.2818508148,22.3328950405,1
141,14.3837869167,22.4345281124,1
142,14.4859178066,22.536178112,1
143,14.5878989697,22.6388549805,1
144,14.6905338764,22.7404389381,1
145,14.7928078175,22.8422751427,1
146,14.8956718445,22.945982933,3
147,14.9975979328,23.0490789413,3
148,15.1003699303,23.1533970833,3
149,15.2023448944,23.2539710999,3
150,15.3041419983,23.3545510769,3
151,15.4060118198,23.457046032,3
152,15.507835865,23.5580761433,3
153,15.6106598377,23.6624560356,3
154,15.7130489349,23.7641510963,3
155,15.8154389858,23.8687410355,3
156,15.9183888435,23.9691340923,3
157,16.0204389095,24.0722799301,3
158,16.1220839024,24.1735811234,3
159,16.2238068581,24.274367094,3
160,16.3256080151,24.3762860298,3
161,16.4274449348,24.4794960022,3
162,16.5291509628,24.579941988,3
163,16.6308758259,24.6830339432,3
164,16.7334289551,24.7843899727,3
165,16.8358089924,24.8872249126,3
166,16.938480854,24.9883589745,3
167,17.0410950184,25.0925440788,3
168,17.1428580284,25.1949939728,3
169,17.2453508377,25.2960059643,3
170,17.3479588032,25.3999209404,3
171,17.4507658482,25.5013959408,3
172,17.552521944,25.6039419174,3
173,17.6550469398,25.7047679424,3
174,17.7574789524,25.8096649647,3
175,17.8593327999,25.9095749855,3
176,17.9613900185,26.0141839981,3
177,18.0636548996,26.1136960983,3
178,18.1659119129,26.2176101208,3
179,18.2690329552,26.3208699226,3
180,18.3708770275,26.421432972,3
181,18.472507,26.525851965,3
182,18.5746510029,26.6244959831,3
183,18.6773989201,26.7297899723,3
184,18.7797169685,26.8332049847,3
185,18.8816950321,26.9318609238,3
186,18.9845190048,27.0377700329,3
187,19.0866599083,27.1380810738,3
188,19.1891429424,27.2407591343,3
189,19.2910969257,27.3433179855,3
190,19.3929929733,27.445982933,3
191,19.495456934,27.5460240841,3
192,19.5973958969,27.6499860287,3
193,19.6991958618,27.7525410652,3
194,19.8019979,27.8542060852,3
195,19.9035959244,27.9547669888,3
196,20.0055758953,28.0564200878,3
197,20.1083438396,28.1667361259,3
198,20.2108998299,28.2648849487,3
199,20.3126678467,28.3635129929,3
200,20.4144539833,28.4668259621,3
201,20.5174119473,28.5681359768,1
202,20.6205809116,28.6729159355,1
203,20.7228460312,28.7763440609,1
204,20.825248003,28.8767039776,1
205,20.9276540279,28.9777319431,1
206,21.0301339626,29.0813200474,1
207,21.1325879097,29.1826300621,1
208,21.23473382,29.2875139713,1
209,21.3372650146,29.3887150288,1
210,21.4403128624,29.4910829067,1
211,21.5427730083,29.5931069851,1
212,21.6447849274,29.6965179443,1
213,21.7471699715,29.7989170551,1
214,21.8497049809,29.901471138,1
215,21.9526519775,30.0037970543,1
216,22.0544698238,30.1052191257,1
217,22.1569960117,30.208288908,1
218,22.2592439651,30.3093791008,1
219,22.3612778187,30.4131009579,1
220,22.4631848335,30.5146329403,1
221,22.5653209686,30.6163170338,1
222,22.6681129932,30.7186229229,1
223,22.7704939842,30.8233940601,1
224,22.873737812,30.9274950027,1
225,22.9758899212,31.026622057,1
226,23.0781400204,31.1286821365,1
227,23.1806738377,31.2312269211,1
228,23.282845974,31.335447073,1
229,23.3855350018,31.4373049736,1
230,23.4875488281,31.5378420353,1
231,23.5902140141,31.6420519352,1
232,23.6919460297,31.7665719986,1
233,23.8176848888,31.8681919575,1
234,23.9200057983,31.9713389874,1
235,24.0234549046,32.074641943,1
236,24.1265459061,32.1771900654,1
237,24.2299089432,32.2828130722,1
238,24.3331608772,32.3843290806,1
239,24.4354519844,32.4844040871,1
240,24.5374848843,32.5887041092,1
241,24.6403398514,32.6910860538,1
242,24.7434329987,32.7955720425,1
243,24.8469707966,32.8988509178,1
244,24.9508109093,33.0024421215,1
245,25.0534038544,33.1051471233,1
246,25.1560029984,33.2087509632,1
247,25.2591118813,33.3104400635,1
248,25.3620278835,33.4154751301,1
249,25.4644348621,33.5168881416,1
250,25.5691559315,33.6234440804,1
251,25.6749060154,33.7261431217,1
252,25.7778849602,33.8297641277,1
253,25.8813560009,33.9320070744,1
254,25.9854419231,34.0363850594,1
255,26.0888049603,34.1395919323,1
256,26.1908018589,34.2413640022,1
257,26.2931218147,34.3440129757,1
258,26.397382021,34.4485781193,1
259,26.5005099773,34.552670002,1
260,26.6029789448,34.6528511047,2
261,26.706184864,34.7586779594,2
262,26.8101608753,34.8613059521,2
263,26.9125328064,34.9645709991,2
264,27.0150778294,35.0663120747,2
265,27.1172709465,35.1688599586,2
266,27.2190978527,35.2696020603,2
267,27.3214459419,35.3729350567,2
268,27.4248490334,35.4747841358,2
269,27.5273740292,35.5774769783,2
270,27.6295340061,35.6831669807,2
271,27.7313790321,35.7827560902,2
272,27.8338990211,35.8838191032,2
273,27.9359149933,35.988722086,2
274,28.0379319191,36.0886459351,2
275,28.1400139332,36.1920161247,2
276,28.2425680161,36.2920780182,2
277,28.3445370197,36.3955159187,2
278,28.4465470314,36.4969880581,2
279,28.5484259129,36.607170105,2
