PacketSeqNo,GeneratedTime(sec),ArrivalTime(sec),MulticastIdx
1,0.00188398361206,6.35381293297,1
2,0.103875875473,6.45537209511,1
3,0.206555843353,6.5556769371,1
4,0.309715032578,6.66233611107,1
5,0.412606954575,6.75995612144,1
6,0.515030860901,6.86167812347,1
7,0.617800951004,6.96762490273,1
8,0.720919847488,7.0746679306,1
9,0.823724985123,7.1779460907,1
10,0.926273822784,7.27823495865,1
11,1.03097891808,7.37727999687,1
12,1.13353800774,7.47999191284,1
13,1.23615598679,7.58323097229,1
14,1.33987998962,7.69144296646,1
15,1.44273304939,7.7972741127,1
16,1.54602384567,7.8920519352,1
17,1.64936184883,7.99709105492,1
18,1.75252103806,8.09750890732,1
19,1.85560393333,8.20278501511,1
20,1.95888996124,8.30705595016,1
21,2.06157588959,8.40651392937,1
22,2.16420197487,8.51085710526,1
23,2.26847290993,8.61636090279,1
24,2.37218499184,8.72222709656,1
25,2.47522497177,8.8212890625,1
26,2.57817387581,8.92958307266,1
27,2.68613696098,9.03402090073,1
28,2.78937983513,9.1411190033,1
29,2.89639592171,9.24521589279,1
30,3.00027489662,9.35095095634,1
31,3.10323190689,9.45185399055,1
32,3.20497202873,9.55220603943,1
33,3.30726885796,9.65498495102,1
34,3.41103792191,9.75726103783,1
35,3.51639294624,9.8640089035,1
36,3.62001991272,9.96695494652,1
37,3.72258996964,10.069849968,1
38,3.82474398613,10.1726689339,3
39,3.92739701271,10.2771089077,3
40,4.03338193893,10.3789520264,3
41,4.1360938549,10.4827051163,3
42,4.23973989487,10.5845079422,3
43,4.34231591225,10.6962161064,3
44,4.44584083557,10.7938170433,3
45,4.54912090302,10.8983829021,3
46,4.65305185318,10.9988529682,3
47,4.7555809021,11.1052930355,3
48,4.85878300667,11.2064650059,3
49,4.96226501465,11.3087489605,3
50,5.06464886665,11.4124479294,3
51,5.16683602333,11.5129001141,3
52,5.27046990395,11.6181869507,3
53,5.37366700172,11.7216360569,3
54,5.47613191605,11.8238799572,3
55,5.57936882973,11.9250340462,3
56,5.68281388283,12.0288159847,3
57,5.78593492508,12.1315100193,3
58,5.88868188858,12.2359359264,3
59,5.99128484726,12.3387570381,3
60,6.09450602531,12.4416921139,3
61,6.19818997383,12.5444369316,3
62,6.30109500885,12.6478071213,3
63,6.40358781815,12.749614954,3
64,6.50659394264,12.8556120396,3
65,6.60967683792,12.9571819305,3
66,6.71257686615,13.058396101,3
67,6.81574892998,13.164536953,3
68,6.92126393318,13.2709000111,3
69,7.02366900444,13.3693039417,3
70,7.12709784508,13.4772520065,3
71,7.23090982437,13.5777070522,3
72,7.33340287209,13.6807279587,3
73,7.4361038208,13.7818291187,3
74,7.53907895088,13.8862669468,3
75,7.64138388634,13.9899320602,3
76,7.74361991882,14.0915989876,3
77,7.84670996666,14.1950991154,3
78,7.9494509697,14.2956979275,3
79,8.05204892159,14.3996150494,3
80,8.15422391891,14.5017609596,3
81,8.25787401199,14.6074590683,3
82,8.36123204231,14.7081320286,3
83,8.46480894089,14.8108859062,3
84,8.56783485413,14.914773941,3
85,8.67107105255,15.0171749592,3
86,8.77359104156,15.119246006,3
87,8.87732386589,15.2250449657,3
88,8.98039984703,15.3266060352,3
89,9.08346796036,15.4297189713,3
90,9.18728303909,15.5342531204,3
91,9.29011797905,15.6364750862,3
92,9.39274001122,15.7383670807,3
93,9.49528384209,15.841725111,3
94,9.59861898422,15.9455099106,3
95,9.7028529644,16.048199892,3
96,9.8054728508,16.1510229111,3
97,9.90776491165,16.2541120052,3
98,10.0106828213,16.3596479893,3
99,10.113065958,16.4584410191,3
100,10.2153830528,16.5608680248,3
101,10.317745924,16.6638000011,3
102,10.4200179577,16.7653899193,3
103,10.5226130486,16.8682150841,3
104,10.6252279282,16.9717988968,3
105,10.7283718586,17.0750849247,3
106,10.8307678699,17.1767420769,3
107,10.9348499775,17.2804760933,3
108,11.0372788906,17.3847939968,3
109,11.1396620274,17.4851620197,3
110,11.242399931,17.5895209312,3
111,11.3453140259,17.6932570934,3
112,11.4481799603,17.7935819626,3
113,11.5519578457,17.8974299431,3
114,11.6550068855,18.0002689362,3
115,11.7578749657,18.10404706,3
116,11.8620278835,18.2093350887,3
117,11.9657080173,18.3139750957,3
118,12.0684928894,18.4154798985,3
119,12.1709108353,18.5190119743,3
120,12.2732820511,18.6185879707,3
121,12.3760390282,18.7228000164,3
122,12.4801590443,18.8257060051,3
123,12.5824978352,18.928896904,3
124,12.686166048,19.0332169533,3
125,12.7886009216,19.1341280937,3
126,12.8908569813,19.2375619411,3
127,12.9932079315,19.3396809101,3
128,13.0961098671,19.443087101,3
129,13.200922966,19.5454831123,3
130,13.3033909798,19.6511049271,3
131,13.4073088169,19.7538540363,3
132,13.5106399059,19.8585939407,3
133,13.6135718822,19.96261096,3
134,13.7165219784,20.0648059845,3
135,13.8190670013,20.1652960777,3
136,13.9213469028,20.2670741081,3
137,14.0241048336,20.37104702,3
138,14.1277449131,20.4768841267,3
139,14.2303450108,20.5786979198,3
140,14.3332579136,20.681251049,3
141,14.436522007,20.7821121216,3
142,14.5392448902,20.8848640919,3
143,14.6418290138,20.9884450436,3
144,14.7445249557,21.0902590752,3
145,14.8469588757,21.1945719719,3
146,14.9496788979,21.2951920033,3
147,15.052464962,21.4006929398,3
148,15.155769825,21.5021469593,3
149,15.2591688633,21.6050350666,3
150,15.3617899418,21.7080829144,3
151,15.4653818607,21.8113949299,3
152,15.5681128502,21.9146289825,3
153,15.6710410118,22.0166409016,3
154,15.7744159698,22.121325016,3
155,15.8778848648,22.223788023,3
156,15.9811518192,22.3292369843,3
157,16.0842878819,22.4325721264,3
158,16.186745882,22.5366230011,3
159,16.2905328274,22.6356680393,3
160,16.3932609558,22.7389070988,3
161,16.4957048893,22.8418290615,3
162,16.5976309776,22.9446110725,3
163,16.6997008324,23.0496990681,3
164,16.8018329144,23.1479279995,3
165,16.9044709206,23.2502799034,3
166,17.0067899227,23.3527419567,3
167,17.1091899872,23.456610918,3
168,17.2110910416,23.5583848953,3
169,17.3136439323,23.6594851017,3
170,17.4166100025,23.7623898983,3
171,17.518955946,23.8645710945,3
172,17.6206350327,23.9673380852,3
173,17.722481966,24.068598032,3
174,17.8246920109,24.1694910526,3
175,17.9269318581,24.2745740414,3
176,18.0288670063,24.3749320507,3
177,18.1311688423,24.4795849323,3
178,18.2333400249,24.5797660351,3
179,18.3355360031,24.6816051006,3
180,18.4381389618,24.7852289677,3
181,18.5407409668,24.8881180286,3
182,18.6434178352,24.9920630455,3
183,18.7467980385,25.0936939716,3
184,18.8500268459,25.1987540722,3
185,18.9534230232,25.2997510433,3
186,19.0566740036,25.4022860527,3
187,19.1589448452,25.5052409172,3
188,19.2618360519,25.6085340977,3
189,19.3645498753,25.7095119953,3
190,19.4673998356,25.8147780895,3
191,19.5707850456,25.9163320065,3
192,19.6736450195,26.0200200081,3
193,19.7761049271,26.1209509373,3
194,19.8783929348,26.2239449024,3
195,19.9812328815,26.3275229931,3
196,20.0840950012,26.4300589561,3
197,20.1873819828,26.5341329575,3
198,20.2913918495,26.6368551254,3
199,20.3944299221,26.7414019108,3
200,20.4984278679,26.8446400166,3
201,20.6010580063,26.950275898,3
202,20.7033088207,27.0500559807,3
203,20.8064229488,27.1527369022,3
204,20.9095578194,27.2574319839,3
205,21.0117759705,27.3583009243,3
206,21.1153879166,27.4615850449,3
207,21.2185089588,27.5666511059,3
208,21.3223159313,27.6683080196,3
209,21.4251749516,27.7711191177,3
210,21.5290539265,27.8749201298,3
211,21.6330399513,27.9788329601,3
212,21.7361500263,28.0837581158,3
213,21.8384740353,28.1843049526,3
214,21.9415168762,28.2876310349,3
215,22.0442578793,28.3912060261,3
216,22.147562027,28.4946351051,3
217,22.2504680157,28.5956280231,3
218,22.3528399467,28.7012639046,3
219,22.4556128979,28.8010160923,3
220,22.5594029427,28.9051589966,3
221,22.6618618965,29.0080440044,3
222,22.7643699646,29.110959053,3
223,22.866713047,29.211564064,3
224,22.969274044,29.3161818981,3
225,23.0716309547,29.4187369347,3
226,23.1741230488,29.5202889442,3
227,23.2771999836,29.6239950657,3
228,23.3794398308,29.7248489857,3
229,23.4821829796,29.8280169964,3
230,23.584471941,29.9307949543,3
231,23.6874380112,30.0339279175,3
232,23.7905230522,30.1600329876,3
233,23.915104866,30.2626130581,3
234,24.0179710388,30.3661370277,3
235,24.1206200123,30.4673810005,3
236,24.2235748768,30.5720140934,3
237,24.328840971,30.6744010448,3
238,24.4323179722,30.7782280445,3
239,24.5357470512,30.8811819553,3
240,24.6391458511,30.9860560894,3
241,24.7418758869,31.0874330997,3
242,24.8459889889,31.1936130524,3
243,24.9488968849,31.2962970734,3
244,25.0520529747,31.3997540474,3
245,25.1553089619,31.5022931099,3
246,25.2584710121,31.6043081284,3
247,25.3613638878,31.7071869373,3
248,25.4633460045,31.8088989258,3
249,25.5657529831,31.9116530418,3
250,25.6685428619,32.0143499374,3
251,25.7716188431,32.1170990467,3
252,25.8744339943,32.2203600407,3
253,25.9784429073,32.3257091045,3
254,26.0806078911,32.4283459187,3
255,26.1830928326,32.5293169022,3
256,26.2852659225,32.631868124,3
257,26.3878939152,32.7344210148,3
258,26.4908299446,32.8387730122,3
259,26.593667984,32.9396190643,3
260,26.6957788467,33.0412380695,3
261,26.7983980179,33.1441829205,1
262,26.9025139809,33.2493739128,1
263,27.0054178238,33.3506309986,1
264,27.1079249382,33.4567909241,1
265,27.2125108242,33.5590159893,1
266,27.3152308464,33.6620240211,1
267,27.4182348251,33.7640841007,1
268,27.5211498737,33.8691399097,1
269,27.6238639355,33.9690220356,1
270,27.7267918587,34.0729830265,1
271,27.829843998,34.1759319305,1
272,27.9324729443,34.2783191204,1
273,28.0346648693,34.3807520866,1
274,28.1370639801,34.4832150936,1
275,28.2399690151,34.5868430138,1
276,28.3427438736,34.6882779598,1
277,28.4451858997,34.7904789448,1
278,28.5484700203,34.8948099613,1
279,28.6514589787,34.9984259605,1
280,28.7547209263,35.1007709503,1
281,28.8568878174,35.2059879303,1
282,28.9600188732,35.3063080311,1
283,29.0636279583,35.4114840031,1
284,29.166697979,35.5120449066,1
285,29.2691750526,35.6157050133,1
286,29.3715839386,35.7176029682,1
287,29.4740719795,35.8196079731,1
288,29.576611042,35.9252750874,1
289,29.679805994,36.0264770985,1
290,29.7819879055,36.1290130615,1
291,29.8844578266,36.2304279804,1
292,29.9871139526,36.3332951069,1
293,30.0899980068,36.4354419708,1
294,30.1930699348,36.5397500992,1
295,30.2963478565,36.6413700581,1
296,30.3988080025,36.7439050674,1
297,30.5014419556,36.8466689587,1
298,30.6039898396,36.9492371082,1
299,30.7075839043,37.0540630817,1
300,30.8107488155,37.1569039822,1
301,30.9132819176,37.2587769032,1
302,31.0155858994,37.3631329536,1
303,31.1188418865,37.4642679691,1
304,31.2220938206,37.5686569214,1
305,31.3245868683,37.6702580452,1
306,31.4270319939,37.7724680901,1
307,31.5312888622,37.8790330887,1
308,31.6343448162,37.9813771248,1
309,31.7369818687,38.0847640038,1
310,31.8399670124,38.187691927,1
311,31.9432668686,38.292509079,1
312,32.0463418961,38.3927431107,1
313,32.14920187,38.4961249828,1
314,32.2514958382,38.5986299515,1
315,32.3538529873,38.7003190517,1
316,32.4579348564,38.8049731255,1
317,32.5607719421,38.9078369141,1
318,32.6635718346,39.0108280182,1
319,32.7673099041,39.1125950813,1
320,32.8710048199,39.218255043,1
321,32.9741258621,39.3236551285,1
322,33.0778839588,39.4250941277,1
323,33.1808698177,39.5278389454,1
324,33.2832438946,39.630081892,1
325,33.3859460354,39.7315440178,1
326,33.4888458252,39.8370149136,1
327,33.5912358761,39.9381959438,1
328,33.6944618225,40.0419480801,1
329,33.7974510193,40.1428780556,1
330,33.9005479813,40.2469959259,1
331,34.0034039021,40.3502969742,1
332,34.1064498425,40.4539999962,1
333,34.2095339298,40.5581479073,1
334,34.3128988743,40.6625230312,1
335,34.4157569408,40.7630770206,1
336,34.5180859566,40.8635790348,1
337,34.6203808784,40.9671220779,1
338,34.7231359482,41.069881916,1
339,34.8256118298,41.1740410328,1
340,34.9290468693,41.2766311169,1
341,35.0316100121,41.3792850971,1
342,35.1353919506,41.4820940495,1
343,35.2388849258,41.5845320225,1
344,35.3413159847,41.6881699562,1
345,35.4438509941,41.7912209034,1
346,35.5466928482,41.8941419125,1
347,35.6495888233,41.9958031178,1
348,35.7531239986,42.1007490158,1
349,35.8570899963,42.2042729855,1
350,35.9606859684,42.3087999821,1
351,36.0635900497,42.4096610546,1
352,36.1665408611,42.5137290955,1
353,36.2692248821,42.6153020859,1
354,36.3722879887,42.7187418938,1
355,36.4760789871,42.8227899075,1
356,36.5803089142,42.9269371033,1
357,36.6836838722,43.0309150219,1
358,36.7868659496,43.131966114,1
359,36.8894169331,43.2367510796,1
360,36.9928119183,43.3393540382,1
361,37.0952038765,43.4421699047,1
362,37.1980240345,43.5442569256,1
363,37.3017508984,43.6488130093,1
364,37.4047269821,43.7502319813,1
365,37.5071020126,43.8543300629,1
366,37.6100149155,43.9556100368,1
367,37.7130379677,44.0596311092,1
368,37.8154020309,44.1636888981,1
369,37.9188430309,44.2641661167,1
370,38.0212728977,44.3682699203,1
371,38.1237118244,44.4690279961,1
372,38.2263770103,44.5732090473,1
373,38.3288350105,44.6769690514,1
374,38.4310319424,44.7783229351,1
375,38.5332949162,44.8815901279,1
376,38.6362228394,44.98239398,1
377,38.7387080193,45.0848500729,1
378,38.8415110111,45.1904079914,1
379,38.9442009926,45.2911939621,1
380,39.0469648838,45.3940780163,1
381,39.1511609554,45.5003759861,1
382,39.2549510002,45.6009199619,1
383,39.3584170341,45.7052640915,1
384,39.4610979557,45.8088140488,1
385,39.5650320053,45.9136059284,1
386,39.6680829525,46.0132360458,1
387,39.7715759277,46.119797945,1
388,39.8757419586,46.2232189178,1
389,39.9784679413,46.3283491135,1
390,40.0813879967,46.4295051098,1
391,40.1843030453,46.5320379734,1
392,40.2878088951,46.6340401173,1
393,40.3903889656,46.7362279892,1
394,40.4930188656,46.8408510685,1
395,40.5954639912,46.9413750172,1
396,40.6984968185,47.0466139317,1
397,40.8015758991,47.1497650146,1
398,40.9047260284,47.2527029514,1
399,41.0072488785,47.3528540134,1
400,41.1102850437,47.4565730095,1
401,41.2129309177,47.5599370003,1
402,41.3154449463,47.662872076,1
403,41.41877985,47.7667078972,1
404,41.5213370323,47.8677420616,1
405,41.6243069172,47.969907999,1
406,41.7273988724,48.074450016,1
407,41.8301329613,48.1754949093,1
408,41.9338629246,48.279638052,1
409,42.0364758968,48.3826699257,1
410,42.1387560368,48.4854609966,1
411,42.241050005,48.5887920856,1
412,42.3437378407,48.6910150051,1
413,42.4460449219,48.7928590775,1
414,42.5490548611,48.8962950706,1
415,42.652328968,48.9998860359,1
416,42.7551848888,49.1013510227,1
417,42.8579490185,49.20490098,1
418,42.9616718292,49.3097491264,1
419,43.0642678738,49.4110500813,1
420,43.1668019295,49.5130410194,1
421,43.2696728706,49.6173429489,1
422,43.3732359409,49.7211279869,1
423,43.4767999649,49.8230500221,1
424,43.5799319744,49.9282279015,1
425,43.683827877,50.0326030254,1
426,43.7875759602,50.1338551044,1
427,43.8914909363,50.2391600609,1
