PacketSeqNo,ArrivalTime,MulticastIdx
1,10.0201427937,1
2,10.0691888332,1
3,10.1050868034,1
4,10.1545748711,1
5,10.20911479,1
6,10.2693588734,1
7,10.3138718605,1
8,10.3458268642,1
9,10.381030798,1
10,10.4209089279,1
11,10.4606819153,1
12,10.4927198887,1
13,10.5349907875,1
14,10.5852057934,1
15,10.6252508163,1
16,10.6769528389,1
17,10.7129878998,1
18,10.7449479103,1
19,10.7847998142,1
20,10.8166468143,1
21,10.852875948,1
22,10.8932189941,1
23,10.9249088764,1
24,10.9947798252,1
25,11.0450098515,1
26,11.0809159279,1
27,11.1170539856,1
28,11.1607408524,1
29,11.2009408474,1
30,11.2527909279,1
77,13.2412428856,3
78,13.2768938541,3
79,13.3088629246,3
80,13.3409078121,3
81,13.3732318878,3
82,13.4169259071,3
83,13.4489638805,3
84,13.4807219505,3
85,13.5375909805,3
86,13.577149868,3
87,13.6166880131,3
88,13.6649918556,3
89,13.7169618607,3
90,13.7489278316,3
91,13.7810659409,3
92,13.8288578987,3
93,13.8729178905,3
94,13.9206869602,3
95,13.9536538124,3
96,14.0006849766,3
97,14.0492238998,1
98,14.0726878643,1
99,14.1050949097,1
100,14.1449458599,1
101,14.184899807,1
102,14.2368497849,1
103,14.2689929008,1
104,14.3053848743,1
105,14.3370058537,1
106,14.384829998,1
107,14.4330289364,1
108,14.4688379765,1
109,14.5091888905,1
110,14.5447268486,1
111,14.5929319859,1
112,14.6329658031,1
113,14.6652247906,1
114,14.7010588646,1
115,14.7430999279,1
116,14.7887368202,1
117,14.8251488209,1
118,14.8606719971,1
119,14.8928718567,1
120,14.925853014,1
121,14.9647769928,1
122,15.0134007931,1
123,15.0567388535,1
124,15.1224689484,1
125,15.1648077965,1
126,15.2258448601,1
127,15.2891449928,3
128,15.3050677776,3
129,15.3569908142,3
130,15.4049768448,3
131,15.4572517872,3
132,15.4928719997,3
133,15.5529727936,3
134,15.6008298397,3
135,15.6370508671,3
136,15.689013958,3
137,15.7328648567,3
138,15.7645659447,3
139,15.8088920116,3
140,15.8652448654,3
141,15.9131128788,3
142,15.968916893,3
143,16.0254979134,3
144,16.0686569214,3
145,16.1049859524,3
146,16.1366930008,3
147,16.1970059872,3
148,16.2288858891,3
149,16.2850189209,3
150,16.3248097897,3
151,16.3658769131,3
152,16.4060008526,3
153,16.4406979084,3
154,16.4798228741,3
155,16.5335509777,1
156,16.5623879433,1
157,16.5968699455,1
158,16.665448904,1
159,16.7008697987,1
160,16.7548649311,1
161,16.8026559353,1
162,16.8687779903,1
163,16.908826828,1
164,16.9489278793,1
165,17.0131468773,1
166,17.0727958679,1
167,17.1132249832,1
168,17.1686048508,1
169,17.2329368591,1
170,17.280766964,1
171,17.3155658245,1
172,17.3606548309,1
173,17.404586792,1
174,17.4448897839,1
175,17.5009868145,1
176,17.5415658951,1
177,17.5887758732,1
178,17.6291828156,1
179,17.6695418358,1
180,17.7173388004,1
181,17.756911993,1
231,20.0891339779,3
232,20.1329979897,3
233,20.1772098541,3
234,20.2408869267,3
235,20.2818439007,3
236,20.3330719471,3
237,20.3688697815,3
238,20.420871973,3
239,20.4615559578,3
240,20.5088429451,3
241,20.5726389885,3
242,20.6329679489,3
243,20.6770558357,3
244,20.7291297913,3
245,20.7768969536,3
246,20.8288478851,3
247,20.8770089149,3
248,20.9170799255,3
249,20.9582679272,3
250,20.9979219437,3
251,21.0285658836,3
252,21.0650448799,3
253,21.1050648689,3
254,21.1525127888,3
255,21.2017858028,3
256,21.2408719063,3
257,21.28115201,3
258,21.3259999752,3
259,21.3809328079,3
260,21.4371337891,1
261,21.4811429977,1
262,21.5368788242,1
263,21.5890259743,1
264,21.6376178265,1
265,21.6890928745,1
266,21.737210989,1
267,21.7971007824,1
268,21.8600959778,1
269,21.889097929,1
270,21.9452028275,1
271,21.9849770069,1
272,22.0287089348,1
273,22.0611608028,1
274,22.1089699268,1
275,22.1532390118,1
276,22.1973099709,1
277,22.2568728924,1
278,22.2929430008,1
279,22.3328948021,1
280,22.3650958538,1
281,22.4052298069,1
282,22.4609339237,1
283,22.5053329468,1
284,22.5532369614,1
285,22.6048688889,1
286,22.6689229012,1
287,22.717124939,1
288,22.7820148468,1
289,22.8248579502,1
290,22.8948488235,3
291,22.9249958992,3
292,23.005769968,3
293,23.0693128109,3
294,23.1048288345,3
295,23.1568629742,3
296,23.2046949863,3
297,23.2449588776,3
298,23.3049998283,3
299,23.3452148438,3
300,23.401971817,3
301,23.4568748474,3
302,23.509324789,3
303,23.5646338463,3
304,23.6087059975,3
305,23.6527810097,3
306,23.7089409828,3
307,23.7570438385,3
308,23.8085448742,3
309,23.8436408043,3
310,23.8892178535,3
311,23.9332199097,3
312,23.9767718315,3
313,24.0325138569,3
314,24.0649797916,3
315,24.108907938,3
316,24.1524829865,3
317,24.1845958233,3
