PacketSeqNo,GeneratingTime,ArrivalTime,MulticastIdx
1,0.00199508666992,6.14486312866,1
2,0.105048179626,6.24640107155,1
3,0.207833051682,6.34913706779,1
4,0.310136079788,6.45343017578,1
5,0.413511037827,6.55582809448,1
6,0.518187046051,6.66434907913,1
7,0.621098995209,6.76497411728,1
8,0.72367811203,6.87128305435,1
9,0.826065063477,6.97082304955,1
10,0.928869009018,7.07618403435,1
11,1.03792405128,7.18133401871,1
12,1.14075899124,7.28927612305,1
13,1.24370503426,7.38958907127,1
14,1.34679913521,7.49024915695,1
15,1.44986200333,7.596378088,1
16,1.55273199081,7.69603705406,1
17,1.65612316132,7.80288219452,1
18,1.75926613808,7.90653014183,1
19,1.86212396622,8.01880216599,1
20,1.96468114853,8.10706305504,1
21,2.06676602364,8.2128341198,1
22,2.1693611145,8.31610321999,1
23,2.27277803421,8.42456507683,1
24,2.37587714195,8.53065919876,1
25,2.47857403755,8.62592315674,1
26,2.58253502846,8.72888922691,1
27,2.68493103981,8.83131122589,1
28,2.78740906715,8.94025707245,1
29,2.89055299759,9.03585219383,1
30,2.99285912514,9.13453221321,1
31,3.09569597244,9.23606705666,1
32,3.19849705696,9.34196519852,1
33,3.30089116096,9.4440100193,1
34,3.40321302414,9.54791307449,1
35,3.50598502159,9.64720320702,1
36,3.60865902901,9.75355315208,1
37,3.71179008484,9.85844111443,1
38,3.8140540123,9.95666599274,1
39,3.91768598557,10.0592801571,1
40,15.0152761936,21.1578822136,2
41,15.1201021671,21.2666780949,2
42,15.2238969803,21.3664970398,2
43,15.3266689777,21.4686851501,2
44,15.4303531647,21.5712502003,2
45,15.5332500935,21.6757731438,2
46,15.6358160973,21.7806990147,2
47,15.7390511036,21.8847751617,2
48,15.8423280716,21.9844200611,2
49,15.9451770782,22.0868391991,2
50,16.0487401485,22.1965210438,2
51,16.1535151005,22.2992892265,2
52,16.2569670677,22.4027321339,2
53,16.3599991798,22.5012390614,2
54,16.4623191357,22.6045701504,2
55,16.5654649734,22.7094089985,2
56,16.6684980392,22.8128712177,2
57,16.7710950375,22.9159631729,2
58,16.8733270168,23.0144841671,2
59,16.9763581753,23.1267361641,2
60,17.0796849728,23.2292861938,2
61,17.1828219891,23.3280980587,2
62,17.2887530327,23.4353711605,2
63,17.3916721344,23.5334000587,2
64,17.4945540428,23.6455950737,2
65,17.5971860886,23.7422831059,2
66,17.7002851963,23.8465511799,2
67,17.8055980206,23.9478130341,2
68,17.9085650444,24.0488920212,2
69,18.0122191906,24.1557412148,2
70,18.1149740219,24.2629711628,2
71,18.2179341316,24.3673841953,2
72,18.320909977,24.4719011784,2
73,18.4235470295,24.566598177,2
74,18.5264849663,24.667547226,2
75,18.6297130585,24.7712461948,2
76,18.7321491241,24.880240202,2
77,18.8349661827,24.9857971668,2
78,18.9374301434,25.0842761993,2
79,19.0412490368,25.1927781105,2
80,19.1435949802,25.2902061939,0
81,19.2464561462,25.3904352188,0
82,19.3495190144,25.5011730194,0
83,19.4540851116,25.5999920368,0
84,19.557115078,25.706731081,0
85,19.659965992,25.8030002117,0
86,19.7624900341,25.9065041542,0
87,19.8652601242,26.0164051056,0
88,19.9683041573,26.1107251644,0
89,20.0713531971,26.2168171406,0
90,20.173938036,26.3164730072,0
91,20.2774200439,26.4200501442,0
92,20.3801450729,26.521843195,0
93,20.4831440449,26.6265890598,0
94,20.5911521912,26.7366871834,0
95,20.6986019611,26.8406200409,0
96,20.805134058,26.9472270012,0
97,20.9112341404,27.0630691051,0
98,21.0169861317,27.1623430252,0
99,21.1191341877,27.2631390095,0
100,21.2209100723,27.3645679951,0
101,21.3269941807,27.4742162228,0
102,21.4320251942,27.5735750198,0
103,21.5412361622,27.685983181,0
104,21.6442379951,27.7889451981,0
105,21.7463929653,27.8875060081,0
106,21.8486220837,27.9915661812,0
107,21.9513931274,28.09735322,0
108,22.0607960224,28.2044360638,0
109,22.1654801369,28.3136301041,0
110,22.2673001289,28.4095470905,0
111,22.3692660332,28.5131502151,0
112,22.4712700844,28.6128702164,0
113,22.57330513,28.7233631611,0
114,22.6759700775,28.8202300072,0
115,22.7815840244,28.9258790016,0
116,22.8834471703,29.0300791264,0
117,22.9911391735,29.1368100643,0
118,23.0939190388,29.2370960712,0
119,23.1989600658,29.3424742222,0
120,23.301306963,29.449311018,0
121,34.3775010109,40.5206851959,3
122,34.4805650711,40.622823,3
123,34.583837986,40.7261400223,3
124,34.6865279675,40.8269081116,3
125,34.7894351482,40.9306452274,3
