PacketSeqNo,GeneratedTime(sec),ArrivalTime(sec),MulticastIdx
1,0.00190901756287,2.96770405769,1
2,0.103708028793,3.06121015549,1
3,0.205893993378,3.16121721268,1
4,0.308387041092,3.26630711555,1
5,0.411634922028,3.36825919151,1
6,0.516347885132,3.47501420975,1
7,0.619289875031,3.57526016235,1
8,0.721395969391,3.67949509621,1
9,0.823719978333,3.77926707268,1
10,0.926946878433,3.88811707497,1
11,1.03250598907,3.98812103271,1
12,1.13536787033,4.09234905243,1
13,1.2376909256,4.19334411621,1
14,1.34037590027,4.29742407799,1
15,1.44262695312,4.397824049,1
16,1.54535484314,4.51172614098,1
17,1.64830183983,4.60878515244,1
18,1.75131297112,4.70883703232,1
19,1.85437202454,4.81152701378,1
20,1.95750689507,4.91458106041,1
21,2.0604300499,5.0175151825,1
22,2.16324996948,5.12010502815,1
23,2.266507864,5.22316503525,1
24,2.36990690231,5.32705616951,1
25,2.473320961,5.4297451973,1
26,2.57702803612,5.53262519836,1
27,2.68095684052,5.63653922081,1
28,2.78433895111,5.74026918411,1
29,2.88625097275,5.84354019165,1
30,2.98921585083,5.9462389946,1
31,3.09116888046,6.04906201363,1
32,3.19381189346,6.15173602104,1
33,3.2971508503,6.25581812859,1
34,3.40167999268,6.35950922966,1
35,3.50505399704,6.46172618866,1
36,3.60752892494,6.5643491745,1
37,3.71083188057,6.66745209694,1
38,3.81381607056,6.76858115196,1
39,3.91788101196,6.87425017357,1
40,4.02032899857,6.9781370163,1
41,4.12430286407,7.08111715317,1
42,4.22700405121,7.18650913239,1
43,4.33149600029,7.29113912582,1
44,4.43340396881,7.38966822624,1
45,4.5352909565,7.49259114265,1
46,4.63749194145,7.59502100945,1
47,4.74139404297,7.69771504402,1
48,4.84353995323,7.79986405373,1
49,4.9455139637,7.90358614922,1
50,5.04845285416,8.00492501259,1
51,5.15155887604,8.10818815231,1
52,5.25472307205,8.21043610573,1
53,5.35836601257,8.31531715393,1
54,5.46090602875,8.41844201088,1
55,5.56383800507,8.52083301544,1
56,5.66604995728,8.62314510345,1
57,5.77093291283,8.72745013237,1
58,5.87548398972,8.8325920105,1
59,5.97767806053,8.93438720703,1
60,6.08007597923,9.03475809097,1
61,6.18379592896,9.14011502266,1
62,6.28610992432,9.24272418022,1
63,6.38954806328,9.34735512733,1
64,6.49243497849,9.44999313354,1
65,6.59542298317,9.55738306046,1
66,6.69755792618,9.65328407288,1
67,6.80140185356,9.7599542141,1
68,6.90561890602,9.86036610603,1
69,7.00795984268,9.96756315231,1
70,7.11093688011,10.0685830116,1
71,7.21323990822,10.1804330349,2
72,7.31537389755,10.2732510567,2
73,7.41760206223,10.3778100014,2
74,7.52152585983,10.4811022282,2
75,7.6246778965,10.5885360241,2
76,7.72830486298,10.6894071102,2
77,7.83074092865,10.7919650078,2
78,7.93398690224,10.8957071304,2
79,8.03776693344,10.9985051155,2
80,8.14099502563,11.1021552086,2
81,8.24315690994,11.204927206,2
82,8.3454709053,11.3096311092,2
83,8.44963598251,11.415115118,2
84,8.55181097984,11.517663002,2
85,8.65493106842,11.6213591099,2
86,8.75705003738,11.724145174,2
87,8.85918903351,11.8267102242,2
88,8.96241593361,11.9292800426,2
89,9.06533503532,12.0318160057,2
90,9.17097806931,12.1374092102,2
